taxid|organism_name|assembly_accession|intraspecific_name|status
109376|Brassica oleracea var. oleracea|GCF_000695525.1||active
130081|Galdieria sulphuraria|GCF_000341285.1||active
130453|Arachis duranensis|GCF_000817695.2||active
130454|Arachis ipaensis|GCF_000816755.2||active
145388|Monoraphidium neglectum|GCF_000611645.1||active
158386|Olea europaea var. sylvestris|GCF_002742605.1||active
178133|Rhodamnia argentea|GCF_900635035.1|14919|active
180498|Jatropha curcas|GCF_014843425.1|ELGS0001-1231|active
200361|Aegilops tauschii subsp. strangulata|GCF_002575655.1||active
206008|Panicum hallii|GCF_002211085.1||active
207710|Prosopis alba|GCF_004799145.1|B1F8T4|active
210225|Nymphaea colorata|GCF_008831285.1|Beijing-Zhang1983|active
214687|Musa acuminata subsp. malaccensis|GCF_000313855.2||active
219896|Syzygium oleosum|GCF_900635055.1|S1999-0275|active
225117|Pyrus x bretschneideri|GCF_000315295.1||active
280699|Cyanidioschyzon merolae strain 10D|GCF_000091205.1||active
296587|Micromonas commoda|GCF_000090985.2||active
326968|Ziziphus jujuba|GCF_000826755.1||active
436017|Ostreococcus lucimarinus CCE9901|GCF_000092065.1||active
458696|Tripterygium wilfordii|GCF_013401445.1|XIE 37|active
554065|Chlorella variabilis|GCF_000147415.1||active
564608|Micromonas pusilla CCMP1545|GCF_000151265.2||active
574566|Coccomyxa subellipsoidea C-169|GCF_000258705.1|C-169|active
906689|Dendrobium catenatum|GCF_001605985.2||active
981085|Morus notabilis|GCF_000414095.1||active
3702|Arabidopsis thaliana|GCF_018141725.1||retired_Oct21
